,Variable,Position,Label de,Label en,Skala,N,Format,Missing
0,PIDNR,1,Fallnummer (PUF)  ,Case number (PUF),Nominal,17640,F5,
1,PPoint,2,Sample Pointnummer (PUF) ,Sample Point Number (PUF),Nominal,17640,F3,
2,OW,3,Ost/West geografisch  ,East/West geographical,Nominal,17640,F2,
3,STALA,4,Stadt-Land (Gemeindegrößenklasse)  ,Urban-rural (municipality size class),Ordinal,17640,F2,
4,wKiGGS,5,Gewichtungsfaktor KiGGS  ,KiGGS weighting factor,Metrisch,17640,F7.5,
5,wKGSLab,6,Gewichtungsfaktor KiGGS Labor (Blut),Weighting factor KiGGS laboratory (blood),Metrisch,14386,F7.5,
6,wKGSVitD,7,Gewichtungsfaktor Vitamin D ,Weighting Factor Vitamin D,Metrisch,10015,F7.5,
7,sex,8,Geschlecht   ,gender,Nominal,17640,F2,
8,sexa,9,Geschlecht   ,gender,Nominal,17640,F2,
9,age2,10,2-Jahresaltersgruppe (vollendet)  ,2 year age group (completed),Ordinal,17640,F3,
10,agegrp,11,Altersgruppe   ,age group,Ordinal,17640,F2,
11,AUSL,12,Ausländer lt. Einwohnermeldeamt ,Foreigners according to the registration office,Nominal,17640,F2,
12,migrant,13,Migrantenstatus   ,migrant status,Nominal,17560,F2,
13,mbtyp,14,Messbogentyp   ,measuring sheet type,Nominal,17640,F2,
14,efbtyp,15,ElternFBTyp   ,ParentsFBTyp,Nominal,17640,F2,
15,kfbtyp,16,KinderFBTyp   ,ChildrenFBTyp,Nominal,17640,F2,
16,capi,17,Arztinterview   ,doctor interview,Nominal,17640,F2,
17,lab,18,Status Blut-/Urindaten  ,Status blood/urine data,Nominal,17640,F2,
18,ffq,19,Ernährungsbogen   ,nutrition sheet,Nominal,17640,F2,
19,e001B,20,Hauptaufenthaltsort (EFB) aggregiert ,Main place of residence (EFB) aggregated,Nominal,17407,F3,
20,e004,21,Fragebogenbeantworter   ,Questionnaire Answerer,Nominal,17420,F2,-7
21,e005,22,Leibliche (Halb-) Geschwister ,Biological (half) siblings,Nominal,17122,F2,-7
22,e005B1,23,Anzahl älterer Geschwister (leiblich),Number of older siblings (biological),Ordinal,13517,F3,-8
23,e005B2,24,Anzahl jüngerer Geschwister (leiblich),Number of younger siblings (biological),Ordinal,13518,F3,
24,e005B3,25,Anzahl gleichaltriger Geschwister (leiblich),Number of siblings of the same age (biological),Ordinal,13509,F3,
25,e006,26,Geschwister (im Haushalt) ,Siblings (in the household),Nominal,16631,F2,-7
26,e006B1,27,Anzahl älterer Geschwister (im,Number of older siblings (in,Ordinal,12607,F3,-8
27,e006B2,28,Anzahl jüngerer Geschwister (im,Number of younger siblings (in,Ordinal,12605,F3,
28,e006B3,29,Anzahl gleichaltriger Geschwister (im,Number of siblings of the same age (in,Ordinal,12602,F3,
29,e007m,30,Mutter: Deutsche Staatsangehörigkeit ,Mother: German nationality,Nominal,17329,F2,-7
30,e007ma,31,Mutter: Andere Staatsangehörigkeit ,Mother: Other nationality,Nominal,17329,F2,-7
31,e007v,32,Vater: Deutsche Staatsangehörigkeit ,Father: German citizenship,Nominal,16748,F2,-7
32,e007va,33,Vater: Andere Staatsangehörigkeit ,Father: Other nationality,Nominal,16748,F2,-7
33,e008m,34,Mutter: Geburtsland  ,Mother: country of birth,Nominal,17302,F2,-7
34,e008v,35,Vater: Geburtsland  ,Father: country of birth,Nominal,16891,F2,-7
35,e009m,36,Mutter: Seit Geburt in D,Mother: Since birth in D,Nominal,17274,F2,-7
36,e009mz,37,Mutter: Seit wann in D (Jahr),Mother: Since when in D (year),Metrisch,2915,F4,-7
37,e009v,38,Vater: Seit Geburt in D ,Father: Since birth in D,Nominal,16668,F2,-7
38,e009vz,39,Vater: Seit wann in D (Jahr),Father: Since when in D (year),Metrisch,2823,F4,-7
39,e010m1,40,Deutsche Sprache zu Hause  ,German language at home,Nominal,17364,F2,-7
40,e010m2,41,Andere Sprache zu Hause  ,Different language at home,Nominal,17364,F2,-7
41,e011m,42,Mutter: Zuwanderergruppe    ,Mother: immigrant group,Nominal,2560,F2,-7
42,e011v,43,Vater: Zuwanderergruppe    ,Father: immigrant group,Nominal,2402,F2,-7
43,e012m_k,44,Mutter: 5-Jahresaltersgruppen    ,Mother: 5 year age groups,Ordinal,17293,F3,-8
44,e012v_k,45,Vater: 5-Jahresaltersgruppen    ,Father: 5 year age groups,Ordinal,15872,F3,
45,e013am_k,46,Mutter: Größe (Selbstangabe) (cm)  ,Mother: height (self-declared) (cm),Ordinal,17088,F3,
46,e013av_k,47,Vater: Größe (Selbstangabe) (cm)  ,Father: height (self-declared) (cm),Ordinal,15254,F3,
47,e013bm_k,48,Mutter: Gewicht (Selbstangabe) (kg)  ,Mother: weight (self-declared) (kg),Ordinal,17001,F3,
48,e013bv_k,49,Vater: Gewicht (Selbstangabe) (kg)  ,Father: weight (self-declared) (kg),Ordinal,15056,F3,
49,Mbmi_k,50,Mutter: Body-Mass-Index (kateg. Selbstangabe) (kg/qm) ,Mother: body mass index (category self-report) (kg/sqm),Ordinal,16967,F3,
50,Vbmi_k,51,Vater: Body-Mass-Index (kateg. Selbstangabe) (kg/qm) ,Father: body mass index (category self-reported) (kg/sqm),Ordinal,15010,F3,
51,E014z,52,Gewichtszunahme in Schwangerschaft (kg)  ,Weight gain during pregnancy (kg),Metrisch,15633,F2,-8
52,e0151,53,Schwangerschaft: Diabetes    ,Pregnancy: diabetes,Nominal,15542,F2,
53,e0152,54,Schwangerschaft: Andere Befunde   ,Pregnancy: other findings,Nominal,15088,F2,
54,e0152c1,55,Schwangerschaft: Welche and. Befunde? (kodiert 1),Pregnancy: What other findings? (coded 1),Nominal,1992,F2,
55,e0152c2,56,Schwangerschaft: Welche and. Befunde? (kodiert 2),Pregnancy: What other findings? (coded 2),Nominal,123,F2,
56,e0152c3,57,Schwangerschaft: Welche and. Befunde? (kodiert 3),Pregnancy: What other findings? (coded 3),Nominal,8,F2,
57,e0153,58,Schwangerschaft: Blutarmut    ,Pregnancy: anemia,Nominal,2557,F2,-7
58,e0154,59,Schwangerschaft: Harnwegsinfektion    ,Pregnancy: urinary tract infection,Nominal,2554,F2,-7
59,e0155,60,Schwangerschaft: Bluthochdruck    ,Pregnancy: high blood pressure,Nominal,2545,F2,-7
60,e0156,61,"Schwangerschaft: Ödeme, Wasseransammlung im Gewebe ","Pregnancy: edema, accumulation of water in the tissues",Nominal,2554,F2,-7
61,e0157,62,Schwangerschaft: Drohende Rhesuskrankheit d. Kindes ,Pregnancy: Imminent Rhesus disease d. child,Nominal,2528,F2,-7
62,e016z,63,Geburt Schwangerschaftswoche    ,birth week of pregnancy,Metrisch,14713,F2,"-8, -9"
63,e016,64,Reifestatus zur Geburt   ,Maturity status at birth,Nominal,9067,F2,
64,e017a_k,65,Geburtsgewicht (g)(Klassiert)    ,Birth Weight (g)(Classified),Ordinal,16876,F5,"-8, -9"
65,e017b_k,66,Geburtsgröße (cm)(Klassiert)    ,Birth Height (cm)(Classified),Ordinal,16786,F3,"-8, -9"
66,e018,67,Probleme nach Geburt   ,problems after childbirth,Nominal,17168,F2,
67,e018m1,68,"Nach Geburt: Atmungsschwierigkeiten, Anpassungsstörungen  ","After birth: breathing difficulties, adjustment disorders",Nominal,3987,F2,
68,e018m2,69,Nach Geburt: Infektion   ,After birth: infection,Nominal,3987,F2,
69,e018m3,70,Nach Geburt: Gelbsucht   ,After birth: jaundice,Nominal,3987,F2,
70,e018m4,71,"Nach Geburt: Untergewicht, Frühgeburt  ","After birth: underweight, premature birth",Nominal,3987,F2,
71,e018m5,72,Nach Geburt: Sonstige   ,After birth: other,Nominal,3987,F2,
72,e018m6,73,Nach Geburt: Kinderklinik   ,After birth: children's hospital,Nominal,3987,F2,
73,e018m6z,74,Nach Geburt: Nächte in Kinderklinik ,After birth: nights in children's hospital,Metrisch,1565,F3,
74,e019,75,Subjektiver Gesundheitszustand (EFB)   ,Subjective health status (EFB),Ordinal,17413,F2,
75,e02001,76,Jemals Keuchhusten    ,Ever whooping cough,Nominal,16330,F2,-7
76,e02002,77,Jemals Masern    ,Ever measles,Nominal,16274,F2,-7
77,e02003,78,Jemals Ziegenpeter (Mumps)   ,Ever Goat Peter (mumps),Nominal,16197,F2,-7
78,e02004,79,Jemals Röteln    ,Ever rubella,Nominal,16227,F2,-7
79,e02005,80,Jemals Windpocken    ,Ever chicken pox,Nominal,17040,F2,-7
80,e02006,81,Jemals Scharlach    ,Ever scarlet fever,Nominal,16311,F2,-7
81,e02007,82,Jemals Pfeiffersches Drüsenfieber   ,Ever mononucleosis,Nominal,16123,F2,-7
82,e02008,83,Jemals Herpes-Infektion    ,Ever herpes infection,Nominal,16346,F2,-7
83,e02009,84,Jemals Salmonelleninfektion    ,Ever had salmonella infection,Nominal,16211,F2,-7
84,e02010,85,Jemals Hepatitis (ohne Neugeborenen-Gelbsucht)  ,Ever had hepatitis (excluding neonatal jaundice),Nominal,16187,F2,-7
85,e0211,86,Jemals Heuschnupfen    ,Ever had hay fever,Nominal,16893,F2,-7
86,e0212,87,Jemals Neurodermitis    ,Ever neurodermatitis,Nominal,16859,F2,-7
87,e0213,88,Jemals Allerg. Kontaktekzem   ,Ever allergy. contact dermatitis,Nominal,16677,F2,-7
88,e0214,89,Jemals Psoriasis (Schuppenflechte)   ,Ever psoriasis (psoriasis),Nominal,16499,F2,-7
89,e022,90,Leibliche Eltern: Allergien   ,Birth parents: allergies,Nominal,17247,F2,-7
90,e022mm1,91,Mutter: Heuschnupfen    ,Mother: hay fever,Nominal,6322,F2,-7
91,e022mm2,92,Mutter: Neurodermitis    ,Mother: neurodermatitis,Nominal,6322,F2,-7
92,e022mm3,93,Mutter: Allergisches Asthma   ,Mother: Allergic asthma,Nominal,6322,F2,-7
93,e022vm1,94,Vater: Heuschnupfen    ,Father: hay fever,Nominal,6322,F2,-7
94,e022vm2,95,Vater: Neurodermitis    ,Father: neurodermatitis,Nominal,6322,F2,-7
95,e022vm3,96,Vater: Allergisches Asthma   ,Father: Allergic asthma,Nominal,6322,F2,-7
96,e023,97,Andere Personen im HH: Allergien ,Other people in HH: allergies,Nominal,16951,F2,-7
97,e024z1,98,"Erkältung, grippaler Infekt (EFB)  ","Common cold, common cold (EFB)",Metrisch,16935,F2,-7
98,e024z2,99,Angina (Mandelentzündung) (EFB)   ,Angina (tonsillitis) (EFB),Metrisch,16926,F2,-7
99,e024z3,100,Herpes-Infektion (EFB)    ,Herpes Infection (EFB),Metrisch,16948,F2,-7
100,e024z4,101,Bronchitis (nicht bei Asthma) (EFB) ,Bronchitis (not in asthma) (EFB),Metrisch,16922,F2,-7
101,e024z5,102,Pseudokrupp/Kruppsyndrom     ,pseudocroup/croup syndrome,Metrisch,8612,F2,-7
102,e024z6,103,"Durchfall, Magen-Darm-Infektion (EFB)   ","diarrhea, gastrointestinal infection (EFB)",Metrisch,16935,F2,-7
103,e024z7,104,Blasen- und/oder Harnwegsentzündung (EFB)  ,Bladder and/or urinary tract infection (EFB),Metrisch,16944,F2,-7
104,e024z8,105,Eitrige Bindehautentzündung (EFB)   ,Purulent conjunctivitis (EFB),Metrisch,16950,F2,-7
105,e024z9,106,Mund- und/oder Windelsoor   ,Oral and/or diaper thrush,Metrisch,2257,F2,-7
106,e0251,107,Kurzsichtigkeit     ,myopia,Nominal,16588,F2,-7
107,e0252,108,Weitsichtigkeit     ,farsightedness,Nominal,16201,F2,-7
108,e0253,109,Hornhautverkrümmung     ,astigmatism,Nominal,16118,F2,-7
109,e0254,110,Schielen     ,squinting,Nominal,16047,F2,-7
110,e025a,111,Sehhilfe     ,visual aid,Nominal,3696,F2,-7
111,e025az1,112,Sehhilfe: Alter (Jahre)   ,Corrective lenses: age (years),Metrisch,3050,F2,
112,e025az2,113,Sehhilfe: Alter (Monate)   ,Corrective lenses: age (months),Metrisch,29,F2,-7
113,e026,114,Dauerhaft schwerhörig (EFB)   ,Permanently Hard of Hearing (EFB),Nominal,12026,F2,-7
114,e026a,115,Hörgerät (EFB)    ,hearing aid (EFB),Nominal,105,F2,-7
115,e027,116,Hyperaktivität     ,hyperactivity,Nominal,13935,F2,-7
116,e027m1,117,Hyperaktivität: Diagnose durch Arzt  ,Hyperactivity: diagnosis by doctor,Nominal,832,F2,-7
117,e027m2,118,Hyperaktivität: Diagnose durch Psychologe  ,Hyperactivity: diagnosis by psychologist,Nominal,832,F2,-7
118,e027m3,119,Hyperaktivität: Diagnose durch andere  ,Hyperactivity: Diagnosis by others,Nominal,832,F2,-7
119,ADHSFall,120,ADHS (von Arzt oder Psychologe festgestellt),ADHD (determined by doctor or psychologist),Nominal,13487,F2,-7
120,ADHSVer,121,ADHS-Verdachtsfall     ,ADHD suspected case,Nominal,12778,F2,-7
121,e028,122,Jemals weitere Krankheiten (EFB)  ,Ever Other Diseases (EFB),Nominal,16269,F2,-7
122,e029z,123,Nächte im Krankenhaus (EFB)  ,Nights in the Hospital (EFB),Metrisch,17089,F3,-7
123,CSHCN,124,CSHCN-Screener: Chronische Krankheiten   ,CSHCN Screener: Chronic Diseases,Nominal,16137,F2,-7
124,e030a1,125,Medikamenteneinnahme (vom Arzt verschrieben)  ,Medication (prescribed by the doctor),Nominal,16580,F2,-7
